,SSA,PS,C,H,O,N,ASH,pHBC,EC,BCA,SM,T,TS,VS,pHAD,DT,MY,Rmax
198,7.11,0.3906524,53.4037,1.92887,31.47258,1.54773,3.88709,6.92195,3.5,20,7.682332429,35,6,77.3,7,10,554.2195849,399.8981139
199,7.11,0.3884724,53.48688,2.083422,31.12195,1.58407,4.16052,6.8913,3.5,30,7.722682059,35,6,77.3,7,10,798.6113308,339.0460611
200,5.7,0.669,54,2.399834,29.83066,1.5343,6.8,7.3,0.338,10,0.05156,37,100,100,7.8,10,311.25,42.64954053
201,8,1.068,54,2.350552,31.75847,1.29127,4.7,7,0.35,10,0.05156,37,100,100,7.8,10,309.375,43.90393878
202,125.5706153,0.541,55.1,1.783728,25.34436,1.0161,24.4,8.9,0.18,10,0.03873,37,8.753648,77.9055216,7.8,32,30.28169014,7.265817125
203,96.935473,2.548,56,1.81201,28.49619,0.72052,24.9,7.3,0.273,10,0.03873,37,5.4915404,78.59556692,7.8,32,26.05633803,9.01240778
204,8,1.068,54,1.92842,28.56627,1.3416,4.7,7,0.35,10,0.03873,37,5.7490036,78.7182511,7.8,32,208.4507042,31.43549577
205,63.5306551,0.903,75.7,1.924278,11.11169,0.44831,4.2,8,0.06,10,0.03873,37,6.324088,80.06268193,7.8,32,61.97183099,13.20422535
206,389.4506314,1.85,42.94099,5.308236,26.77215,3.35685,35.07906,7.33051,509.82,25,50,41.647,22.2452252,80.48419841,7.5,100,531.609517,49.49244451
207,149.8907719,1.85,66.07895,3.829258,19.20119,0.51013,31.0302,7.99323,17.72,25,50,39.834,23.3072296,81.37393933,7.5,100,477.5404266,40.39630568
208,148.6917027,1.85,64.04837,3.718768,26.44418,0.61927,30.92938,7.78841,6.786,25,50,40.316,18.4910128,82.24772483,7.5,100,443.6108992,43.55342624
209,0.5916,8.4877,65.61,2.84,28.93,2.16,0.46,7,1.62413629,5,29.88,38,8,83,7,30,283.25,36.78
210,1.009,12.0224,57.43,1.24,39.8,1.38,0.15,7,3.61211029,5,29.88,38,8,83,7,30,310.66,24.87
211,774.4792,1.8567,39.13,12.8,42.97,4.5,0.6,7,329.0419483,5,29.88,38,8,83,7,30,319.44,25.09
212,0.5916,8.4877,65.61,2.84,28.93,2.16,0.46,7,1.61069859,10,29.88,38,8,83,7,30,293.14,36.78
213,1.009,12.0224,57.43,1.24,39.8,1.38,0.15,7,3.65936209,10,29.88,38,8,83,7,30,295.56,27.83
